city, pop_tot , pop_fb ,pop_fb_share,natrate,lsnblaborforceparticrate,lsfblaborforceparticrate,hsnblaborforceparticrate,hsfblaborforceparticrate,lsnbemplrate,lsfbemplrate,hsnbemplrate,hsfbemplrate,lsnbhighprestigerate,lsfbhighprestigerate,hsnbhighprestigerate,hsfbhighprestigerate,lsnbparttimerate,lsfbparttimerate,hsnbparttimerate,hsfbparttimerate,nbentrepreneurshiprate,fbentrepreneurshiprate,lsnbpovertyrate,lsfbpovertyrate,hsnbpovertyrate,hsfbpovertyrate,lsnbtrirecipient,lsfbtrirecipient,hsnbtrirecipient,hsfbtrirecipient,lsnbfoodstamprecipient,lsfbfoodstamprecipient,hsnbfoodstamprecipient,hsfbfoodstamprecipient,nbownershiprate,fbownershiprate,nboverburdenrate,fboverburdenrate,nbovercrowdedrate,fbovercrowdedrate,nbhealthinsu,fbhealthinsu,nbhs,fbhs,nbba,fbba,nbadv,fbadv,nbpubsoc,fbpubsoc,nbmilitaryvet,fbmilitaryvet, lsnbmediantotinc , lsfbmediantotinc , hsnbmediantotinc , hsfbmediantotinc , nbmedianbusinessincome , fbmedianbusinessincome , overall_score , overall_ranking , policy_score ,gov_leadership,econ_empower,Inclusivity,Community,legal_support,emergency_management,se_score,job_opps,econ_prosperity,Livability,civic_particip
"Greensboro city, NC"," 290,282 "," 31,197 ",10.7%,76.0%,56.6%,67.3%,73.7%,76.4%,91.1%,96.2%,96.9%,97.6%,4.3%,1.1%,23.8%,26.5%,31.7%,18.9%,16.0%,13.4%,8.0%,11.5%,23.5%,22.9%,6.1%,10.5%,29.8%,21.3%,4.2%,7.5%,19.1%,20.2%,3.9%,9.0%,51.9%,48.3%,39.6%,36.6%,1.1%,3.3%,91.4%,74.8%,91.4%,74.6%,38.5%,33.5%,13.5%,15.1%,4.3%,1.3%,7.9%,2.0%," $14,601 "," $15,980 "," $44,000 "," $41,500 "," $21,307 "," $21,307 ", 3.46 , 26 , 3.17 ,4,1,3,5,3,3,3.75,5,4,3,3
"Henderson city, NV"," 303,225 "," 43,434 ",14.3%,85.1%,59.8%,60.4%,68.1%,62.3%,92.2%,93.8%,96.1%,96.5%,4.6%,6.1%,24.3%,30.7%,24.5%,18.6%,14.8%,13.2%,10.3%,12.2%,9.4%,10.3%,4.5%,5.4%,17.3%,9.3%,5.0%,6.5%,7.8%,8.8%,2.7%,2.4%,63.5%,70.0%,35.7%,35.3%,0.2%,1.0%,94.0%,90.4%,95.1%,88.2%,33.0%,37.4%,12.2%,13.1%,5.6%,3.6%,12.5%,4.4%," $23,883 "," $25,030 "," $53,955 "," $43,164 "," $32,373 "," $33,300 ", 3.75 , 16 , 3.00 ,2,3,4,3,3,3,4.5,3,5,5,5
"Hialeah city, FL"," 231,175 "," 167,162 ",72.3%,75.6%,59.0%,55.3%,79.9%,72.3%,90.8%,95.6%,96.1%,97.7%,3.6%,2.6%,25.5%,15.1%,25.1%,18.6%,11.8%,14.8%,7.6%,16.8%,23.6%,23.3%,6.3%,15.6%,49.3%,31.6%,4.7%,17.9%,30.7%,44.2%,12.7%,36.5%,53.1%,45.6%,58.2%,60.5%,1.7%,2.6%,86.8%,77.5%,86.7%,68.6%,19.6%,16.0%,5.6%,4.2%,5.3%,1.7%,3.7%,0.8%," $11,199 "," $12,949 "," $35,634 "," $22,411 "," $24,000 "," $17,308 ", 2.21 , 91 , 1.67 ,1,2,2,3,1,1,2.75,3,1,4,3
"Honolulu CDP, HI"," 343,776 "," 90,902 ",26.4%,76.4%,60.9%,60.0%,75.0%,69.1%,94.8%,95.9%,98.1%,98.7%,4.3%,2.7%,26.9%,27.9%,24.0%,22.9%,13.2%,16.9%,8.3%,13.8%,10.8%,16.8%,3.7%,8.7%,24.1%,26.9%,4.8%,8.7%,11.7%,21.3%,1.8%,6.9%,49.9%,39.5%,45.8%,46.4%,3.3%,10.1%,96.7%,93.3%,95.6%,76.3%,42.9%,28.1%,16.3%,9.6%,11.0%,4.3%,15.3%,3.2%," $24,503 "," $19,283 "," $57,408 "," $39,840 "," $28,978 "," $23,257 ", 1.92 , 95 , 1.83 ,1,2,3,1,1,3,2,1,1,3,3
"Houston city, TX"," 2,302,286 "," 678,493 ",29.5%,70.4%,60.0%,66.4%,77.6%,76.5%,91.2%,95.9%,96.9%,95.7%,3.7%,1.4%,32.6%,35.3%,21.5%,16.6%,11.5%,12.1%,8.4%,12.4%,21.5%,24.2%,5.0%,10.5%,33.7%,15.8%,3.1%,4.7%,19.4%,20.7%,2.9%,5.7%,49.5%,42.1%,39.5%,42.2%,1.0%,3.6%,85.1%,58.5%,90.1%,61.3%,38.3%,25.1%,14.4%,11.3%,4.3%,1.9%,6.8%,1.0%," $15,644 "," $16,086 "," $59,351 "," $44,846 "," $30,000 "," $20,503 ", 3.42 , 29 , 4.33 ,5,4,3,5,4,5,2.5,4,2,2,2
"Indianapolis city (balance), IN"," 864,213 "," 81,931 ",9.5%,62.4%,60.5%,68.4%,81.1%,72.3%,91.3%,95.1%,97.4%,95.1%,4.0%,1.3%,27.4%,31.0%,23.7%,14.3%,13.3%,12.6%,6.4%,9.6%,20.2%,25.3%,5.3%,13.4%,34.4%,23.4%,5.3%,9.2%,16.9%,17.8%,2.9%,5.5%,54.9%,38.4%,39.0%,38.4%,0.4%,2.8%,90.9%,69.2%,88.6%,66.7%,31.4%,28.9%,10.7%,11.4%,5.7%,1.7%,8.6%,1.4%," $18,345 "," $18,326 "," $47,941 "," $30,544 "," $23,988 "," $24,435 ", 2.58 , 74 , 3.17 ,3,3,1,5,3,4,2,2,3,2,1
"Irvine city, CA"," 254,210 "," 94,689 ",37.2%,82.5%,54.2%,47.0%,77.7%,69.4%,93.3%,93.3%,97.0%,96.1%,5.2%,6.3%,31.0%,39.2%,38.1%,27.5%,16.4%,12.5%,12.5%,13.6%,15.2%,26.7%,4.0%,9.9%,25.1%,26.6%,4.8%,7.8%,4.9%,9.9%,1.1%,1.0%,48.8%,46.0%,45.7%,55.3%,1.2%,3.8%,96.9%,92.3%,97.3%,91.5%,60.6%,65.5%,23.5%,29.1%,4.4%,2.6%,6.1%,0.9%," $10,654 "," $9,269 "," $67,118 "," $53,955 "," $31,961 "," $30,000 ", 2.63 , 72 , 3.00 ,3,3,3,2,3,4,2.25,1,1,3,4
"Irving city, TX"," 240,532 "," 86,635 ",36.0%,65.1%,67.6%,74.0%,83.2%,77.2%,94.3%,96.8%,97.7%,97.1%,4.1%,1.2%,25.1%,30.6%,20.0%,14.9%,9.3%,6.9%,6.4%,9.7%,13.1%,15.8%,3.3%,6.6%,30.7%,13.2%,2.3%,3.3%,11.6%,13.0%,1.9%,2.5%,41.3%,36.3%,29.1%,32.6%,1.3%,3.5%,86.2%,66.2%,92.5%,65.6%,35.9%,34.5%,11.2%,15.3%,3.9%,1.3%,7.1%,1.0%," $21,000 "," $20,000 "," $58,000 "," $50,718 "," $33,374 "," $20,859 ", 2.58 , 74 , 2.67 ,1,3,2,3,3,4,2.5,3,3,3,1
"Jacksonville city, FL"," 890,762 "," 98,270 ",11.0%,78.6%,61.9%,64.8%,76.1%,76.8%,92.6%,95.6%,96.9%,97.4%,4.6%,4.0%,25.5%,29.1%,21.2%,18.9%,11.4%,12.1%,7.6%,10.0%,17.2%,15.4%,4.6%,8.0%,27.3%,15.7%,4.6%,4.7%,20.0%,17.7%,4.8%,5.1%,55.9%,54.9%,38.4%,37.4%,0.6%,1.3%,89.3%,76.5%,90.6%,83.9%,28.6%,34.6%,9.3%,12.4%,6.0%,3.1%,15.3%,5.5%," $20,233 "," $19,316 "," $50,000 "," $40,484 "," $22,399 "," $23,675 ", 3.46 , 26 , 2.17 ,2,2,1,3,1,4,4.75,4,5,5,5
"Jersey City city, NJ"," 261,060 "," 109,055 ",41.8%,77.2%,55.8%,60.2%,89.7%,75.4%,91.1%,94.0%,97.5%,96.1%,2.7%,2.9%,20.9%,30.9%,24.9%,20.4%,8.9%,8.6%,5.7%,6.3%,21.2%,19.5%,4.6%,11.4%,45.8%,30.2%,6.6%,7.2%,24.3%,27.4%,3.8%,7.0%,28.6%,28.3%,39.3%,38.5%,1.9%,4.3%,92.5%,83.1%,89.9%,85.6%,43.5%,51.1%,15.4%,24.2%,5.9%,2.4%,5.0%,0.7%," $15,980 "," $16,000 "," $64,746 "," $56,113 "," $31,961 "," $18,326 ", 4.25 , 5 , 5.00 ,5,5,5,5,5,5,3.5,3,3,5,3
"Kansas City city, MO"," 485,621 "," 37,471 ",7.7%,72.8%,62.0%,65.3%,80.0%,73.2%,93.2%,93.5%,98.3%,98.0%,4.2%,3.0%,27.5%,38.6%,22.6%,18.4%,12.8%,17.3%,7.1%,8.7%,18.1%,23.2%,5.1%,16.0%,25.8%,15.0%,3.3%,4.9%,16.7%,19.7%,2.8%,5.1%,53.5%,48.1%,31.1%,34.7%,0.4%,2.1%,88.9%,66.7%,91.5%,70.4%,33.4%,26.1%,11.9%,11.6%,6.5%,3.5%,9.0%,2.5%," $20,362 "," $17,308 "," $50,906 "," $37,118 "," $21,307 "," $23,988 ", 2.96 , 50 , 3.17 ,3,4,2,4,2,4,2.75,2,3,3,3
"Laredo city, TX"," 256,042 "," 67,852 ",26.5%,60.0%,57.8%,52.5%,82.1%,77.0%,93.4%,96.4%,97.5%,98.4%,3.1%,1.1%,25.5%,17.7%,22.1%,21.5%,10.7%,11.0%,7.5%,16.8%,28.8%,31.9%,5.0%,7.0%,39.9%,17.4%,3.3%,3.0%,29.6%,32.2%,4.6%,8.5%,63.1%,57.6%,37.2%,45.1%,2.8%,4.2%,77.8%,54.2%,78.4%,50.0%,20.8%,14.5%,5.7%,3.8%,8.8%,3.0%,4.7%,0.8%," $11,200 "," $10,500 "," $48,870 "," $35,796 "," $21,991 "," $14,400 ", 1.92 , 95 , 1.83 ,1,1,3,2,1,3,2,3,3,1,1
"Las Vegas city, NV"," 632,764 "," 137,844 ",21.8%,75.0%,57.5%,66.2%,70.0%,65.0%,91.2%,95.9%,96.2%,95.2%,4.4%,1.8%,25.9%,22.1%,24.9%,18.6%,14.8%,17.1%,8.3%,9.6%,17.1%,16.7%,5.8%,9.8%,32.3%,14.2%,6.9%,10.1%,18.5%,18.9%,5.4%,9.3%,52.7%,51.4%,44.8%,40.5%,1.2%,2.4%,90.7%,70.8%,91.3%,65.2%,25.7%,18.0%,9.5%,5.3%,5.8%,2.0%,12.6%,2.6%," $19,177 "," $20,395 "," $51,138 "," $30,896 "," $25,899 "," $23,000 ", 2.75 , 62 , 2.50 ,1,3,3,3,4,1,3,2,3,4,3
"Lexington-Fayette urban county, KY"," 320,655 "," 30,125 ",9.4%,72.2%,60.7%,73.2%,78.2%,77.0%,92.9%,94.4%,97.3%,98.5%,4.9%,0.7%,27.1%,31.9%,30.9%,21.2%,14.2%,17.2%,8.5%,10.4%,19.7%,28.6%,6.0%,15.3%,29.7%,18.0%,5.7%,3.6%,14.2%,18.8%,2.5%,5.1%,56.1%,37.8%,36.7%,40.4%,0.2%,1.8%,94.9%,71.2%,93.2%,74.8%,44.1%,40.5%,18.3%,22.6%,5.9%,2.3%,7.9%,0.7%," $16,697 "," $17,308 "," $50,000 "," $40,317 "," $20,859 "," $15,644 ", 3.25 , 36 , 4.00 ,5,4,2,5,3,5,2.5,4,3,1,2
"Lincoln city, NE"," 283,535 "," 23,260 ",8.2%,76.5%,66.4%,69.5%,81.1%,75.7%,95.8%,95.6%,99.0%,95.1%,4.9%,3.8%,22.5%,27.8%,29.5%,24.2%,15.8%,14.8%,7.4%,3.6%,14.3%,27.1%,6.2%,10.6%,17.8%,20.3%,3.2%,5.6%,9.2%,23.5%,2.7%,10.5%,61.9%,39.9%,36.4%,38.7%,0.7%,2.4%,93.1%,82.5%,95.7%,71.7%,40.2%,31.0%,14.2%,15.6%,7.5%,3.9%,8.9%,1.6%," $20,754 "," $16,494 "," $46,941 "," $27,500 "," $21,582 "," $33,374 ", 2.50 , 78 , 3.00 ,3,4,2,3,3,3,2,1,1,3,3
"Long Beach city, CA"," 467,025 "," 116,845 ",25.0%,71.8%,61.4%,61.4%,78.8%,74.2%,92.4%,94.8%,96.5%,96.4%,3.9%,3.5%,26.4%,32.6%,27.2%,21.4%,15.4%,15.7%,9.6%,12.3%,18.6%,20.1%,5.5%,7.3%,38.8%,35.8%,8.0%,12.4%,12.1%,19.4%,2.7%,2.3%,42.2%,36.6%,48.1%,54.8%,2.4%,8.7%,94.5%,83.4%,93.0%,56.6%,37.2%,20.0%,13.6%,6.1%,6.1%,3.3%,7.0%,1.4%," $18,326 "," $16,000 "," $61,087 "," $43,164 "," $30,544 "," $20,362 ", 3.50 , 23 , 4.50 ,4,5,5,4,4,5,2.5,3,2,2,3
"Los Angeles city, CA"," 3,968,051 "," 1,461,291 ",36.8%,70.5%,59.1%,63.0%,81.7%,72.8%,90.7%,95.1%,95.2%,95.6%,3.9%,2.4%,22.5%,29.2%,31.4%,23.0%,17.3%,17.0%,13.9%,19.1%,21.0%,21.4%,6.5%,10.6%,46.3%,38.4%,8.7%,15.5%,12.0%,15.5%,2.4%,4.1%,39.3%,32.8%,49.0%,56.0%,2.8%,10.6%,93.3%,80.6%,92.2%,62.4%,43.8%,24.1%,15.2%,8.1%,4.4%,2.7%,4.8%,1.0%," $14,382 "," $16,187 "," $55,996 "," $41,717 "," $31,288 "," $20,000 ", 3.88 , 14 , 5.00 ,5,5,5,5,5,5,2.75,3,2,2,4
"Louisville city, KY"," 247,255 "," 12,710 ",5.1%,68.1%,57.1%,68.6%,78.0%,73.6%,89.7%,93.3%,97.6%,94.2%,3.8%,3.8%,25.9%,27.7%,28.1%,21.4%,15.3%,15.7%,7.2%,9.5%,24.1%,34.9%,6.0%,17.3%,41.9%,35.1%,6.5%,15.5%,21.5%,25.0%,3.0%,14.3%,53.3%,34.0%,35.5%,37.2%,0.5%,4.5%,95.0%,78.8%,88.7%,79.8%,30.6%,36.5%,13.1%,19.2%,4.5%,2.0%,8.5%,2.3%," $16,187 "," $14,568 "," $49,007 "," $26,978 "," $25,569 "," $25,000 ", 3.13 , 43 , 3.50 ,4,4,2,3,3,5,2.75,4,1,3,3
"Lubbock city, TX"," 248,438 "," 15,541 ",6.3%,58.3%,60.9%,61.9%,75.2%,70.9%,95.8%,96.4%,98.4%,99.2%,4.1%,2.2%,26.1%,32.8%,27.0%,21.2%,15.5%,33.2%,8.7%,9.0%,23.2%,27.5%,8.6%,22.1%,22.9%,11.1%,3.7%,1.3%,14.9%,14.6%,2.6%,5.3%,54.0%,44.6%,41.5%,38.0%,0.9%,2.2%,87.0%,72.7%,87.1%,68.7%,29.1%,35.3%,9.9%,23.1%,4.9%,3.3%,7.3%,1.9%," $15,644 "," $14,254 "," $45,000 "," $25,899 "," $20,859 "," $23,000 ", 2.33 , 87 , 1.67 ,1,1,2,2,1,3,3,1,4,4,3
"Madison city, WI"," 258,067 "," 25,736 ",10.0%,68.5%,65.3%,65.2%,80.2%,76.2%,95.3%,94.2%,98.4%,97.8%,5.6%,2.8%,30.9%,45.0%,39.9%,25.0%,18.0%,22.3%,6.3%,3.8%,20.4%,24.3%,7.4%,19.1%,19.4%,11.9%,2.9%,3.8%,12.2%,20.8%,1.8%,2.2%,52.6%,35.4%,42.8%,43.3%,0.4%,4.3%,97.1%,85.5%,97.0%,86.0%,56.2%,56.3%,23.0%,35.2%,7.3%,4.9%,6.2%,0.9%," $16,687 "," $17,003 "," $51,730 "," $35,610 "," $26,634 "," $22,945 ", 2.75 , 62 , 3.50 ,3,4,3,3,4,4,2,1,2,2,3
"Memphis city, TN"," 651,815 "," 39,551 ",6.1%,67.5%,58.3%,70.4%,76.9%,77.1%,88.6%,95.8%,97.0%,97.4%,3.8%,1.1%,25.4%,28.3%,23.1%,18.6%,12.2%,14.6%,6.0%,12.5%,27.1%,27.0%,6.1%,14.1%,36.4%,10.0%,5.7%,8.5%,27.2%,21.9%,5.6%,3.9%,48.8%,45.6%,40.0%,40.0%,0.4%,2.2%,88.0%,52.9%,87.7%,62.4%,26.5%,25.4%,10.3%,12.5%,6.9%,1.1%,8.0%,1.0%," $15,235 "," $16,290 "," $47,852 "," $34,092 "," $22,373 "," $17,000 ", 2.33 , 87 , 1.67 ,1,1,1,3,3,1,3,5,4,2,1
"Mesa city, AZ"," 497,139 "," 59,015 ",11.9%,64.9%,60.9%,64.4%,70.0%,68.8%,93.8%,94.8%,96.3%,95.9%,5.0%,1.8%,26.3%,28.5%,24.0%,22.4%,15.2%,17.0%,8.3%,16.1%,15.3%,27.5%,5.5%,11.9%,27.1%,19.4%,6.7%,11.4%,10.9%,16.0%,4.4%,8.5%,62.6%,49.6%,39.1%,49.2%,1.1%,4.7%,90.0%,67.6%,93.1%,63.3%,28.2%,17.6%,9.0%,6.1%,4.5%,1.8%,11.6%,2.3%," $21,582 "," $16,687 "," $46,932 "," $35,000 "," $22,661 "," $18,326 ", 1.88 , 97 , 2.00 ,2,1,1,3,3,2,1.75,3,1,1,2
"Miami city, FL"," 452,909 "," 263,863 ",58.3%,74.0%,57.1%,56.3%,82.5%,74.9%,88.8%,94.6%,97.0%,96.1%,3.9%,1.5%,32.0%,18.5%,23.1%,17.3%,11.8%,14.9%,11.6%,18.4%,27.5%,26.0%,7.0%,12.4%,44.8%,28.3%,3.8%,12.2%,33.2%,40.8%,3.4%,16.8%,31.7%,28.9%,50.4%,58.9%,2.3%,4.2%,85.8%,75.6%,87.3%,73.7%,39.3%,24.9%,17.4%,9.0%,5.9%,1.9%,4.9%,1.0%," $11,719 "," $13,000 "," $54,233 "," $31,288 "," $28,507 "," $16,187 ", 2.46 , 80 , 2.67 ,3,2,2,2,3,4,2.25,2,1,3,3
"Milwaukee city, WI"," 593,065 "," 58,891 ",9.9%,65.5%,59.5%,65.1%,80.9%,72.1%,91.3%,95.9%,98.3%,96.4%,3.5%,1.1%,26.8%,20.3%,27.4%,17.1%,14.9%,11.9%,4.6%,6.7%,26.0%,25.6%,6.5%,12.8%,44.9%,28.0%,7.3%,7.4%,31.4%,34.7%,6.4%,8.4%,42.9%,46.1%,43.2%,34.2%,0.7%,2.4%,93.2%,70.3%,87.8%,57.9%,25.6%,16.1%,9.0%,8.1%,5.9%,1.1%,6.1%,1.2%," $16,000 "," $17,730 "," $48,282 "," $37,546 "," $26,438 "," $27,795 ", 2.67 , 66 , 2.33 ,3,1,3,2,3,2,3,2,5,4,1
"Minneapolis city, MN"," 420,241 "," 62,459 ",14.9%,72.4%,66.0%,67.7%,85.4%,80.7%,92.4%,91.4%,98.1%,97.3%,5.6%,3.3%,23.9%,37.2%,37.9%,31.8%,17.1%,20.1%,8.5%,6.9%,23.7%,38.6%,5.6%,14.7%,41.1%,49.1%,7.2%,11.8%,18.7%,41.4%,2.6%,8.4%,52.6%,24.7%,38.9%,44.4%,0.7%,7.5%,95.8%,82.4%,95.6%,63.7%,55.2%,31.0%,21.4%,15.3%,5.9%,2.5%,5.8%,1.5%," $17,521 "," $14,352 "," $55,466 "," $39,632 "," $25,453 "," $20,000 ", 2.67 , 66 , 3.83 ,4,3,3,4,5,4,1.5,1,1,1,3
"Nashville-Davidson metropolitan government (balance), TN"," 662,176 "," 87,969 ",13.3%,73.0%,63.8%,73.6%,82.5%,80.4%,93.8%,95.8%,98.1%,98.3%,4.8%,1.8%,28.0%,26.3%,23.5%,17.2%,12.9%,11.3%,9.1%,9.3%,18.3%,24.1%,5.8%,10.7%,28.6%,17.5%,3.7%,7.6%,15.3%,20.3%,2.1%,7.7%,55.3%,43.1%,37.0%,39.3%,0.6%,2.4%,91.3%,63.2%,92.2%,71.3%,43.3%,30.3%,16.0%,12.3%,5.9%,2.6%,7.6%,1.7%," $20,859 "," $19,424 "," $50,906 "," $37,288 "," $30,215 "," $22,736 ", 2.58 , 74 , 3.17 ,5,1,1,5,3,4,2,3,1,1,3
"New Orleans city, LA"," 390,561 "," 21,570 ",5.5%,76.2%,54.0%,62.6%,78.0%,75.1%,88.7%,91.7%,96.7%,96.4%,3.5%,1.9%,29.9%,30.1%,27.5%,20.9%,14.9%,19.2%,10.5%,19.6%,29.7%,25.0%,7.8%,13.0%,43.8%,21.9%,7.8%,9.3%,24.5%,12.9%,3.7%,3.4%,48.3%,45.6%,47.9%,51.2%,0.3%,0.7%,90.6%,77.6%,87.4%,77.7%,37.2%,38.9%,16.2%,17.4%,7.4%,4.1%,6.5%,2.1%," $12,410 "," $15,900 "," $46,932 "," $37,700 "," $23,740 "," $20,859 ", 3.42 , 29 , 2.33 ,3,1,1,2,3,4,4.5,5,5,3,5
"New York city, NY"," 8,418,640 "," 3,107,968 ",36.9%,78.2%,50.4%,59.8%,82.0%,76.2%,88.8%,94.3%,96.4%,96.1%,3.9%,2.7%,23.8%,27.8%,27.2%,21.4%,12.8%,13.1%,8.6%,11.3%,23.4%,20.2%,5.6%,9.6%,50.2%,41.9%,8.6%,17.5%,29.1%,28.3%,4.1%,10.3%,32.9%,31.7%,43.5%,51.1%,2.1%,5.5%,95.7%,86.8%,89.0%,74.3%,45.4%,29.8%,19.1%,12.3%,6.8%,3.8%,4.0%,1.2%," $12,515 "," $16,620 "," $64,746 "," $50,000 "," $31,288 "," $21,307 ", 4.29 , 4 , 4.83 ,5,5,5,4,5,5,3.75,5,2,3,5
"Newark city, NJ"," 280,908 "," 90,819 ",32.3%,76.9%,53.0%,66.9%,79.9%,76.4%,84.0%,92.4%,91.8%,95.2%,3.8%,1.5%,13.0%,20.4%,25.6%,20.5%,15.4%,17.5%,4.6%,8.6%,32.0%,21.9%,11.0%,14.4%,54.3%,25.0%,15.3%,13.5%,27.7%,18.7%,11.2%,8.9%,20.3%,25.8%,51.0%,52.9%,1.9%,5.5%,91.1%,65.4%,79.5%,69.1%,14.1%,15.9%,3.8%,5.0%,9.1%,1.9%,4.5%,1.5%," $10,228 "," $17,730 "," $40,725 "," $30,000 "," $21,307 "," $15,018 ", 3.67 , 17 , 3.33 ,3,5,5,2,4,1,4,5,5,3,3
"Norfolk city, VA"," 257,412 "," 17,043 ",6.6%,79.4%,67.2%,68.1%,78.9%,77.6%,92.6%,94.9%,96.5%,95.3%,3.7%,5.3%,23.8%,28.0%,20.6%,14.1%,14.4%,18.7%,5.2%,6.8%,21.7%,16.2%,6.4%,5.2%,25.3%,7.2%,4.8%,3.5%,15.2%,7.8%,3.4%,3.8%,44.8%,43.9%,40.6%,39.2%,0.3%,1.5%,90.0%,78.1%,88.2%,82.3%,26.0%,33.5%,9.5%,14.2%,8.0%,7.2%,28.2%,16.4%," $19,709 "," $22,000 "," $48,400 "," $37,769 "," $20,000 "," $23,309 ", 3.29 , 33 , 1.83 ,1,1,3,2,3,1,4.75,4,5,5,5
"North Las Vegas city, NV"," 240,979 "," 51,380 ",21.3%,74.3%,61.7%,67.1%,74.5%,67.7%,91.8%,95.5%,95.8%,95.0%,3.7%,1.9%,22.1%,19.2%,21.5%,15.0%,11.0%,14.2%,5.6%,8.8%,15.9%,14.5%,5.1%,7.7%,35.2%,10.1%,7.9%,9.5%,15.7%,20.7%,6.0%,8.5%,58.9%,60.8%,38.5%,43.2%,0.7%,2.4%,91.7%,68.0%,90.1%,62.3%,20.6%,14.8%,6.8%,3.6%,7.4%,1.6%,14.7%,3.9%," $20,000 "," $21,582 "," $50,000 "," $32,400 "," $22,500 "," $16,799 ", 3.00 , 48 , 3.00 ,2,4,3,1,4,4,3,3,4,3,2
"Oakland city, CA"," 425,165 "," 115,248 ",27.1%,70.9%,58.9%,60.8%,82.3%,79.4%,90.3%,93.8%,96.6%,96.4%,4.3%,1.4%,25.7%,30.2%,30.3%,28.0%,17.1%,14.8%,11.6%,14.8%,21.4%,22.8%,5.1%,8.4%,45.2%,40.2%,7.5%,12.4%,16.5%,16.4%,2.7%,3.8%,42.6%,36.2%,42.0%,49.8%,2.2%,8.6%,95.1%,85.1%,94.1%,61.6%,54.5%,26.7%,23.5%,10.8%,7.5%,3.1%,5.4%,1.0%," $15,980 "," $14,915 "," $68,834 "," $60,000 "," $31,288 "," $21,582 ", 3.08 , 46 , 3.67 ,2,3,5,3,5,4,2.5,3,2,2,3
"Oklahoma City city, OK"," 634,903 "," 68,852 ",10.8%,69.4%,60.5%,68.0%,76.3%,79.6%,93.2%,95.8%,98.5%,98.4%,4.6%,2.7%,28.0%,31.0%,21.9%,19.2%,14.4%,14.4%,9.8%,11.0%,18.9%,22.4%,5.3%,8.7%,28.3%,11.0%,3.4%,4.0%,17.5%,17.5%,2.9%,3.6%,58.4%,53.4%,32.4%,32.0%,0.7%,2.3%,87.6%,59.9%,91.0%,57.3%,31.5%,21.9%,11.3%,10.6%,8.7%,4.5%,11.9%,2.4%," $18,963 "," $18,021 "," $48,581 "," $37,384 "," $23,000 "," $26,101 ", 2.38 , 85 , 1.50 ,1,1,2,3,1,1,3.25,3,5,2,3
"Omaha city, NE"," 455,932 "," 50,799 ",11.1%,65.5%,64.8%,70.0%,78.9%,77.2%,94.3%,92.9%,98.1%,96.4%,4.2%,1.6%,29.8%,19.9%,27.1%,18.8%,13.2%,13.9%,7.8%,6.3%,15.0%,26.0%,4.2%,11.2%,23.5%,18.5%,3.1%,3.7%,13.7%,22.6%,3.1%,6.1%,62.2%,42.7%,36.5%,29.8%,0.4%,3.5%,92.4%,67.3%,94.4%,55.4%,39.5%,25.6%,13.4%,11.1%,4.2%,1.4%,9.5%,1.3%," $20,859 "," $16,000 "," $52,942 "," $37,365 "," $23,438 "," $21,582 ", 1.50 , 100 , 2.00 ,1,3,3,3,1,1,1,1,1,1,1
"Orlando city, FL"," 274,450 "," 62,326 ",22.7%,79.0%,63.6%,67.9%,80.1%,76.9%,91.7%,94.9%,97.9%,96.8%,3.6%,2.2%,24.9%,21.8%,24.6%,21.3%,11.7%,15.6%,8.3%,10.7%,21.6%,21.8%,6.6%,12.2%,33.9%,18.9%,4.7%,5.4%,26.0%,25.4%,5.1%,10.1%,43.4%,38.5%,42.4%,51.7%,1.0%,2.9%,87.6%,73.8%,90.4%,79.2%,34.5%,28.3%,11.1%,9.5%,4.7%,2.4%,7.7%,1.9%," $17,003 "," $16,187 "," $46,700 "," $29,202 "," $25,453 "," $19,177 ", 3.00 , 48 , 3.50 ,4,4,3,4,3,3,2.5,1,3,2,4
"Philadelphia city, PA"," 1,579,833 "," 223,773 ",14.2%,78.5%,51.7%,62.3%,80.1%,73.9%,87.5%,92.4%,96.4%,93.0%,4.2%,2.9%,29.8%,32.7%,25.8%,21.6%,13.9%,12.9%,5.5%,11.7%,28.9%,26.6%,9.3%,17.8%,45.4%,32.9%,7.6%,12.6%,32.3%,30.1%,6.5%,15.7%,52.5%,50.2%,43.5%,50.5%,0.7%,2.5%,93.8%,79.8%,86.7%,74.2%,29.0%,30.5%,12.1%,13.5%,8.3%,3.1%,6.5%,1.8%," $13,850 "," $15,018 "," $50,906 "," $32,580 "," $23,417 "," $21,582 ", 3.92 , 13 , 4.33 ,5,4,3,5,5,4,3.5,5,3,3,3
"Phoenix city, AZ"," 1,625,123 "," 316,080 ",19.4%,62.0%,62.7%,65.1%,76.7%,75.0%,92.9%,96.1%,97.6%,97.3%,4.5%,2.1%,26.9%,30.6%,22.3%,18.4%,13.2%,11.7%,9.0%,14.0%,19.0%,24.7%,4.6%,8.2%,36.1%,27.5%,5.8%,8.8%,15.4%,23.5%,3.0%,4.5%,55.6%,50.1%,36.6%,38.2%,1.3%,4.6%,89.6%,68.8%,90.3%,58.8%,31.9%,17.6%,11.2%,7.0%,5.0%,2.2%,8.5%,1.5%," $19,640 "," $16,900 "," $53,268 "," $43,164 "," $26,073 "," $18,773 ", 2.46 , 80 , 2.67 ,2,3,2,4,1,4,2.25,4,2,2,1
